ID,Duration,Role,Age_Group,See_Rider_Freq,Attitude_Street_Rest,Overall_Attitude,NIMBY_Sensitivity,Resident_Concern_M,Mgmt_Principle_M,Discussion_Will,Resident_Suggest_Open,Reside_Duration,text_quality_bad
1,369,社区居民,18-24岁,经常看到,不希望聚集,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",无所谓,未填写,少于1年,False
10,794,社区居民,18-24岁,很少看到,不希望聚集,非常支持,否,噪音/卫生问题,物业监督,愿意,未填写,少于1年,False
12,819,社区居民,25-30岁,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,5年以上,False
17,167,社区居民,18-24岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,5年以上,False
19,402,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,1-5年,False
21,172,社区居民,31-40岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,少于1年,False
30,904,社区居民,18-24岁,偶尔看到,不希望聚集,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,少于1年,False
34,226,社区居民,18-24岁,很少看到,不希望聚集,中立,是,噪音/卫生问题,禁止吸烟,无所谓,未填写,1-5年,False
47,396,社区居民,25-30岁,很少看到,觉得辛苦,中立,是,充电消防隐患,物业监督,无所谓,未填写,少于1年,False
54,370,社区居民,18-24岁,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,1-5年,False
55,263,社区居民,25-30岁,经常看到,影响美观,非常支持,是,充电消防隐患,物业监督,愿意,未填写,5年以上,False
56,159,社区居民,25-30岁,经常看到,不希望聚集,不太支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,未填写,1-5年,False
62,238,社区居民,25-30岁,很少看到,没感觉,非常支持,否,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
68,443,社区居民,18-24岁,很少看到,觉得辛苦,比较支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,未填写,5年以上,False
70,732,社区居民,25-30岁,经常看到,没感觉,非常支持,否,充电消防隐患,禁止吸烟,无所谓,未填写,5年以上,False
72,666,社区居民,25-30岁,经常看到,没感觉,非常支持,是,充电消防隐患,禁止吸烟,愿意,未填写,少于1年,False
73,296,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",不太愿意,未填写,5年以上,False
84,242,社区居民,31-40岁,经常看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,未填写,1-5年,False
86,429,社区居民,31-40岁,很少看到,没感觉,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,未填写,1-5年,False
89,679,社区居民,31-40岁,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
101,567,社区居民,18-24岁,偶尔看到,觉得辛苦,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,未填写,少于1年,False
102,743,社区居民,18-24岁,经常看到,觉得辛苦,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,未填写,5年以上,False
107,318,社区居民,31-40岁,经常看到,觉得辛苦,中立,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,未填写,1-5年,False
111,184,社区居民,31-40岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,未填写,少于1年,False
118,316,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,未填写,少于1年,False
119,429,社区居民,31-40岁,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,未填写,1-5年,False
128,383,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,少于1年,False
135,302,社区居民,18-24岁,经常看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,少于1年,False
136,402,社区居民,25-30岁,经常看到,影响美观,不太支持,是,噪音/卫生问题,物业监督,无所谓,未填写,1-5年,False
148,268,社区居民,25-30岁,偶尔看到,影响美观,不太支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,未填写,1-5年,False
149,670,社区居民,31-40岁,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,未填写,5年以上,False
152,451,社区居民,31-40岁,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,未填写,少于1年,False
154,503,社区居民,41岁及以上,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
157,380,社区居民,18-24岁,经常看到,没感觉,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,未填写,5年以上,False
158,185,社区居民,31-40岁,很少看到,没感觉,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
163,572,社区居民,41岁及以上,很少看到,没感觉,中立,是,充电消防隐患,"物业监督,禁止吸烟",无所谓,未填写,5年以上,False
165,297,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,物业监督,不太愿意,未填写,1-5年,False
166,518,社区居民,41岁及以上,经常看到,觉得辛苦,非常支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,未填写,1-5年,False
179,275,社区居民,25-30岁,经常看到,没感觉,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,少于1年,False
181,258,社区居民,31-40岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,未填写,1-5年,False
190,367,社区居民,25-30岁,很少看到,没感觉,不太支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,未填写,少于1年,False
194,592,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,未填写,1-5年,False
199,349,社区居民,25-30岁,经常看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
200,224,社区居民,31-40岁,经常看到,影响美观,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,5年以上,False
208,290,社区居民,25-30岁,偶尔看到,觉得辛苦,比较支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,未填写,少于1年,False
221,157,社区居民,25-30岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,未填写,1-5年,False
224,277,社区居民,25-30岁,很少看到,觉得辛苦,不太支持,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",不太愿意,未填写,5年以上,False
228,283,社区居民,25-30岁,很少看到,没感觉,中立,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
229,387,社区居民,18-24岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,未填写,5年以上,False
233,765,社区居民,25-30岁,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,未填写,少于1年,False
237,564,社区居民,25-30岁,经常看到,觉得辛苦,非常支持,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
238,504,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,5年以上,False
242,256,社区居民,18-24岁,很少看到,影响美观,非常支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
246,375,社区居民,25-30岁,经常看到,觉得辛苦,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,未填写,少于1年,False
250,683,社区居民,41岁及以上,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
260,340,社区居民,18-24岁,偶尔看到,没感觉,中立,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,愿意,未填写,1-5年,False
261,348,社区居民,18-24岁,经常看到,影响美观,非常支持,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
262,220,社区居民,25-30岁,经常看到,影响美观,不太支持,是,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,未填写,少于1年,False
264,335,社区居民,41岁及以上,偶尔看到,不希望聚集,中立,否,充电消防隐患,"物业监督,禁止吸烟",无所谓,未填写,5年以上,False
268,404,社区居民,31-40岁,经常看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,未填写,少于1年,False
272,458,社区居民,41岁及以上,偶尔看到,没感觉,比较支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,少于1年,False
273,907,社区居民,41岁及以上,经常看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,未填写,少于1年,False
280,254,社区居民,31-40岁,偶尔看到,影响美观,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,未填写,1-5年,False
291,476,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,少于1年,False
294,776,社区居民,41岁及以上,经常看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,未填写,少于1年,False
295,534,社区居民,25-30岁,很少看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,5年以上,False
303,384,社区居民,31-40岁,很少看到,觉得辛苦,非常支持,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
305,265,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,噪音/卫生问题,禁止吸烟,愿意,未填写,1-5年,False
307,187,社区居民,31-40岁,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,未填写,1-5年,False
308,280,社区居民,18-24岁,经常看到,不希望聚集,比较支持,是,充电消防隐患,物业监督,不太愿意,未填写,5年以上,False
319,302,社区居民,31-40岁,经常看到,没感觉,比较支持,否,充电消防隐患,禁止吸烟,无所谓,未填写,少于1年,False
322,1263,社区居民,18-24岁,偶尔看到,没感觉,比较支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
324,302,社区居民,25-30岁,很少看到,没感觉,中立,否,充电消防隐患,禁止吸烟,不太愿意,未填写,5年以上,False
329,632,社区居民,25-30岁,偶尔看到,影响美观,比较支持,是,充电消防隐患,物业监督,无所谓,未填写,5年以上,False
330,712,社区居民,18-24岁,很少看到,影响美观,不太支持,是,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,未填写,少于1年,False
331,355,社区居民,18-24岁,很少看到,影响美观,比较支持,否,充电消防隐患,"物业监督,禁止吸烟",不太愿意,未填写,5年以上,False
332,723,社区居民,18-24岁,经常看到,没感觉,比较支持,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
338,136,社区居民,41岁及以上,偶尔看到,没感觉,非常支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,未填写,1-5年,False
339,241,社区居民,18-24岁,偶尔看到,没感觉,中立,是,充电消防隐患,物业监督,无所谓,未填写,1-5年,False
340,598,社区居民,25-30岁,经常看到,不希望聚集,中立,否,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
345,195,社区居民,25-30岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,无所谓,未填写,5年以上,False
346,591,社区居民,18-24岁,偶尔看到,不希望聚集,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,5年以上,False
347,313,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,否,充电消防隐患,禁止吸烟,愿意,未填写,1-5年,False
352,358,社区居民,31-40岁,偶尔看到,觉得辛苦,比较支持,是,噪音/卫生问题,禁止吸烟,愿意,未填写,5年以上,False
359,1427,社区居民,41岁及以上,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,未填写,1-5年,False
364,452,社区居民,25-30岁,偶尔看到,没感觉,非常支持,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,未填写,少于1年,False
369,183,社区居民,18-24岁,很少看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,少于1年,False
372,724,社区居民,31-40岁,很少看到,不希望聚集,中立,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,未填写,少于1年,False
373,541,社区居民,18-24岁,偶尔看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,未填写,1-5年,False
375,320,社区居民,25-30岁,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,1-5年,False
377,186,社区居民,41岁及以上,很少看到,觉得辛苦,非常支持,否,充电消防隐患,物业监督,无所谓,未填写,少于1年,False
378,197,社区居民,41岁及以上,很少看到,不希望聚集,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",无所谓,未填写,1-5年,False
384,560,社区居民,31-40岁,偶尔看到,没感觉,比较支持,是,充电消防隐患,禁止吸烟,无所谓,未填写,5年以上,False
389,178,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,充电消防隐患,物业监督,不太愿意,未填写,5年以上,False
390,254,社区居民,18-24岁,很少看到,影响美观,中立,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,未填写,1-5年,False
399,1295,社区居民,18-24岁,偶尔看到,影响美观,不太支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
409,316,社区居民,41岁及以上,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,未填写,5年以上,False
411,220,社区居民,31-40岁,经常看到,影响美观,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,未填写,1-5年,False
414,1549,社区居民,31-40岁,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,未填写,1-5年,False
416,181,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,5年以上,False
427,396,社区居民,31-40岁,偶尔看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,未填写,少于1年,False
429,368,社区居民,18-24岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,1-5年,False
434,318,社区居民,41岁及以上,很少看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,未填写,少于1年,False
442,203,社区居民,18-24岁,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,5年以上,False
449,255,社区居民,41岁及以上,经常看到,没感觉,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",愿意,未填写,1-5年,False
455,694,社区居民,18-24岁,很少看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,未填写,1-5年,False
461,140,社区居民,31-40岁,很少看到,没感觉,中立,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,未填写,5年以上,False
463,329,社区居民,25-30岁,很少看到,不希望聚集,中立,否,充电消防隐患,物业监督,不太愿意,未填写,少于1年,False
469,166,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,未填写,5年以上,False
481,1045,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,未填写,少于1年,False
482,278,社区居民,18-24岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,愿意,未填写,5年以上,False
486,144,社区居民,25-30岁,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
489,505,社区居民,25-30岁,很少看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,未填写,少于1年,False
497,334,社区居民,31-40岁,很少看到,觉得辛苦,非常支持,否,充电消防隐患,物业监督,愿意,未填写,少于1年,False
499,770,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,未填写,5年以上,False
500,559,社区居民,25-30岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,未填写,少于1年,False
501,189,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,未填写,1-5年,False
504,364,社区居民,25-30岁,经常看到,不希望聚集,非常支持,是,充电消防隐患,物业监督,不太愿意,未填写,1-5年,False
508,403,社区居民,18-24岁,偶尔看到,没感觉,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,未填写,5年以上,False
520,601,社区居民,25-30岁,很少看到,觉得辛苦,中立,否,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,5年以上,False
523,177,社区居民,41岁及以上,很少看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,未填写,1-5年,False
524,298,社区居民,31-40岁,经常看到,觉得辛苦,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,1-5年,False
527,367,社区居民,31-40岁,经常看到,觉得辛苦,中立,否,充电消防隐患,物业监督,不太愿意,未填写,1-5年,False
532,665,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,5年以上,False
539,773,社区居民,18-24岁,经常看到,不希望聚集,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,未填写,1-5年,False
544,363,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,少于1年,False
546,515,社区居民,31-40岁,很少看到,觉得辛苦,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,5年以上,False
547,267,社区居民,31-40岁,经常看到,觉得辛苦,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",不太愿意,未填写,1-5年,False
551,564,社区居民,18-24岁,经常看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
19,802,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,1-5年,False
229,310,社区居民,18-24岁,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,未填写,5年以上,False
154,315,社区居民,41岁及以上,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,未填写,1-5年,False
12,874,社区居民,25-30岁,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,未填写,5年以上,False
233,383,社区居民,25-30岁,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,未填写,少于1年,False
238,353,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,5年以上,False
359,448,社区居民,41岁及以上,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,未填写,1-5年,False
532,452,社区居民,31-40岁,偶尔看到,觉得辛苦,不太支持,是,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,未填写,5年以上,False
152,1009,社区居民,31-40岁,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,未填写,少于1年,False
17,841,社区居民,18-24岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,未填写,5年以上,False
165,145,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,物业监督,不太愿意,未填写,1-5年,False
375,167,社区居民,25-30岁,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,未填写,1-5年,False
319,216,社区居民,31-40岁,经常看到,没感觉,比较支持,否,充电消防隐患,禁止吸烟,无所谓,未填写,少于1年,False
250,212,社区居民,41岁及以上,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
18,286,社区居民,18-24岁,偶尔看到,觉得辛苦,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,未填写,1-5年,False
149,341,社区居民,31-40岁,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,未填写,5年以上,False
416,464,社区居民,18-24岁,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,未填写,5年以上,False
345,473,社区居民,25-30岁,经常看到,没感觉,非常支持,是,噪音/卫生问题,禁止吸烟,无所谓,未填写,5年以上,False
291,477,社区居民,18-24岁,很少看到,觉得辛苦,非常支持,是,充电消防隐患,"物业监督,禁止吸烟",愿意,未填写,少于1年,False
221,299,社区居民,25-30岁,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,未填写,1-5年,False
500,412,社区居民,25-30岁,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",不太愿意,未填写,少于1年,False
119,309,社区居民,31-40岁,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,未填写,1-5年,False
499,403,社区居民,41岁及以上,经常看到,影响美观,不太支持,否,噪音/卫生问题,"禁止吸烟,物业监督",无所谓,未填写,5年以上,False
54,281,社区居民,18-24岁,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,未填写,1-5年,False
