ID,Duration,Role,Age_Group,Delivery_Type,Area_Type,Usage_Exp,Work_Hours,Inconvenience_M,Feature_Importance_M,Loc_Preference,Scheme_Choice,PU_Efficiency,PU_Safety,PU_Value,PEOU_Search,Attention_Check,PEOU_Process,PEOU_Habit,BI_Usage,BI_Recommend,Cost_Bearing_M,Pay_Willingness,Ad_Acceptance,Rider_Concern_Open,Career_Duration,Monthly_Income
129,176,外卖骑手,25-30岁,众包,住宅区/社区为主,完全不知道,8-12小时,找不到合适地方休息,"基础休憩,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,1.0,,6个月-1年,8000-12000元
130,485,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,8-12小时,身体疲劳无处缓解,"基础休憩,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,"完全由政府出资,广告收入",视情况而定,3.0,,6个月-1年,8000-12000元
131,259,外卖骑手,41岁及以上,专送,商业区/写字楼为主,是，偶尔用,少于4小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","便利服务,基础休憩",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,4.0,"广告收入,向骑手收取少量费用",完全不愿意,5.0,,不到6个月,5000-8000元
132,665,外卖骑手,18-24岁,众包,混合区域,是，经常用,4-8小时,手机/电瓶车充电难,"便利服务,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,5.0,,不到6个月,5000元以下
133,331,外卖骑手,41岁及以上,众包,混合区域,完全不知道,超过12小时,饮水不便,"充足的电瓶车停车位,便利服务",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,广告收入",不太愿意,5.0,,不到6个月,8000-12000元
138,363,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,少于4小时,"身体疲劳无处缓解,饮水不便","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,"广告收入,由外卖平台承担",不太愿意,2.0,,6个月-1年,8000-12000元
139,547,外卖骑手,31-40岁,众包,混合区域,是，经常用,4-8小时,"饮水不便,手机/电瓶车充电难,找不到合适地方休息","充电续航,便利服务",社区便利店/超市内,B（综合保障型）,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,"广告收入,完全由政府出资",不太愿意,1.0,,6个月-1年,12000元以上
140,519,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,超过12小时,"找不到合适地方休息,手机/电瓶车充电难,上厕所不便","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,"完全由政府出资,由外卖平台承担",完全不愿意,2.0,,1-3年,5000-8000元
141,926,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"上厕所不便,找不到合适地方休息","基础休憩,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,完全由政府出资",视情况而定,3.0,,1-3年,5000-8000元
144,342,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,8-12小时,手机/电瓶车充电难,"便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",完全不愿意,2.0,,6个月-1年,5000-8000元
146,318,外卖骑手,41岁及以上,众包,住宅区/社区为主,完全不知道,4-8小时,手机/电瓶车充电难,"应急庇护,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,4.0,,不到6个月,5000元以下
150,267,外卖骑手,41岁及以上,众包,住宅区/社区为主,完全不知道,8-12小时,"上厕所不便,身体疲劳无处缓解,找不到合适地方休息","基础休憩,便利服务",社区便利店/超市内,B（综合保障型）,3.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,4.0,,不到6个月,12000元以上
153,348,外卖骑手,31-40岁,众包,住宅区/社区为主,完全不知道,超过12小时,手机/电瓶车充电难,"应急庇护,充足的电瓶车停车位",小区出入口/门卫室附近,B（综合保障型）,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"向骑手收取少量费用,广告收入",完全不愿意,5.0,,不到6个月,12000元以上
155,413,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,超过12小时,"身体疲劳无处缓解,饮水不便","充电续航,便利服务",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",完全不愿意,3.0,,不到6个月,5000元以下
156,387,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,找不到合适地方休息,"应急庇护,便利服务",社区便利店/超市内,C（弹性流动型）,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,完全由政府出资",视情况而定,1.0,,不到6个月,8000-12000元
159,249,外卖骑手,41岁及以上,众包,商业区/写字楼为主,是，偶尔用,超过12小时,"手机/电瓶车充电难,身体疲劳无处缓解,饮水不便","基础休憩,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,"完全由政府出资,由外卖平台承担",不太愿意,3.0,,6个月-1年,5000-8000元
160,197,外卖骑手,31-40岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,饮水不便,"便利服务,充电续航",社区便利店/超市内,A（高频便利型）,5.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,"由外卖平台承担,完全由政府出资",视情况而定,3.0,,6个月-1年,8000-12000元
161,186,外卖骑手,18-24岁,专送,混合区域,完全不知道,超过12小时,"找不到合适地方休息,手机/电瓶车充电难","充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,A（高频便利型）,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,"由外卖平台承担,完全由政府出资",完全不愿意,1.0,,不到6个月,5000元以下
167,207,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"身体疲劳无处缓解,找不到合适地方休息,上厕所不便","便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,"完全由政府出资,向骑手收取少量费用",视情况而定,4.0,,1-3年,12000元以上
168,156,外卖骑手,25-30岁,专送,混合区域,是，经常用,超过12小时,身体疲劳无处缓解,"充电续航,基础休憩",社区便利店/超市内,A（高频便利型）,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"由外卖平台承担,完全由政府出资",愿意支付,2.0,,不到6个月,12000元以上
169,998,外卖骑手,25-30岁,众包,混合区域,完全不知道,超过12小时,"饮水不便,身体疲劳无处缓解","充电续航,基础休憩",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,3.0,,不到6个月,5000元以下
170,516,外卖骑手,18-24岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,"上厕所不便,手机/电瓶车充电难","充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,A（高频便利型）,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,5.0,,不到6个月,5000元以下
171,369,外卖骑手,41岁及以上,众包,住宅区/社区为主,知道，但从没用过,4-8小时,"上厕所不便,身体疲劳无处缓解","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,"完全由政府出资,广告收入",愿意支付,5.0,,6个月-1年,8000-12000元
175,320,外卖骑手,31-40岁,众包,混合区域,完全不知道,少于4小时,"手机/电瓶车充电难,上厕所不便","基础休憩,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,4.0,"向骑手收取少量费用,广告收入",完全不愿意,5.0,,3年以上,5000元以下
177,226,外卖骑手,25-30岁,众包,商业区/写字楼为主,完全不知道,8-12小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","应急庇护,基础休憩",社区党群服务中心,B（综合保障型）,4.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,"完全由政府出资,广告收入",愿意支付,3.0,,1-3年,8000-12000元
178,545,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,超过12小时,"找不到合适地方休息,手机/电瓶车充电难,身体疲劳无处缓解","充足的电瓶车停车位,基础休憩",闲置核酸亭/集装箱改造,B（综合保障型）,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,"完全由政府出资,广告收入",不太愿意,3.0,,3年以上,5000-8000元
180,200,外卖骑手,31-40岁,专送,住宅区/社区为主,完全不知道,4-8小时,"上厕所不便,找不到合适地方休息,身体疲劳无处缓解","充电续航,便利服务",社区便利店/超市内,B（综合保障型）,4.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,3.0,,1-3年,5000元以下
182,246,外卖骑手,31-40岁,专送,商业区/写字楼为主,知道，但从没用过,8-12小时,身体疲劳无处缓解,"基础休憩,应急庇护",社区便利店/超市内,A（高频便利型）,5.0,4.0,4.0,5.0,1.0,5.0,5.0,3.0,4.0,"完全由政府出资,由外卖平台承担",愿意支付,2.0,,不到6个月,8000-12000元
185,302,外卖骑手,18-24岁,专送,商业区/写字楼为主,是，经常用,4-8小时,"饮水不便,上厕所不便","充足的电瓶车停车位,基础休憩",社区便利店/超市内,B（综合保障型）,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,"向骑手收取少量费用,完全由政府出资",不太愿意,1.0,,1-3年,5000-8000元
189,605,外卖骑手,41岁及以上,众包,商业区/写字楼为主,是，经常用,少于4小时,饮水不便,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,"向骑手收取少量费用,广告收入",不太愿意,2.0,,1-3年,12000元以上
191,228,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,4-8小时,"身体疲劳无处缓解,上厕所不便,饮水不便","便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",愿意支付,3.0,,不到6个月,12000元以上
192,442,外卖骑手,18-24岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,手机/电瓶车充电难,"充电续航,基础休憩",小区出入口/门卫室附近,C（弹性流动型）,5.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,"向骑手收取少量费用,广告收入",不太愿意,5.0,,不到6个月,8000-12000元
193,440,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,4-8小时,"身体疲劳无处缓解,上厕所不便","应急庇护,充电续航",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,"完全由政府出资,向骑手收取少量费用",视情况而定,4.0,,不到6个月,5000元以下
196,304,外卖骑手,41岁及以上,专送,住宅区/社区为主,知道，但从没用过,少于4小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","充足的电瓶车停车位,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,"向骑手收取少量费用,完全由政府出资",不太愿意,5.0,,3年以上,5000-8000元
198,112,外卖骑手,41岁及以上,众包,混合区域,是，经常用,8-12小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,1.0,,6个月-1年,5000元以下
201,118,外卖骑手,18-24岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,身体疲劳无处缓解,"基础休憩,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,"完全由政府出资,广告收入",完全不愿意,4.0,,6个月-1年,5000元以下
203,274,外卖骑手,18-24岁,众包,混合区域,是，经常用,8-12小时,"找不到合适地方休息,身体疲劳无处缓解,手机/电瓶车充电难","便利服务,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,"由外卖平台承担,广告收入",完全不愿意,3.0,,不到6个月,5000-8000元
205,643,外卖骑手,31-40岁,专送,商业区/写字楼为主,知道，但从没用过,4-8小时,"手机/电瓶车充电难,找不到合适地方休息","便利服务,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",愿意支付,4.0,,6个月-1年,5000元以下
209,267,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,4-8小时,饮水不便,"应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,"广告收入,完全由政府出资",不太愿意,5.0,,1-3年,12000元以上
210,289,外卖骑手,18-24岁,专送,商业区/写字楼为主,知道，但从没用过,8-12小时,上厕所不便,"便利服务,应急庇护",闲置核酸亭/集装箱改造,B（综合保障型）,3.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,完全由政府出资",不太愿意,3.0,,3年以上,5000元以下
211,177,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,超过12小时,饮水不便,"便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,"广告收入,向骑手收取少量费用",视情况而定,3.0,,不到6个月,5000-8000元
212,427,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,少于4小时,"饮水不便,手机/电瓶车充电难,上厕所不便","充足的电瓶车停车位,便利服务",社区便利店/超市内,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,"广告收入,完全由政府出资",愿意支付,4.0,,不到6个月,8000-12000元
214,1303,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"找不到合适地方休息,手机/电瓶车充电难","便利服务,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,"广告收入,向骑手收取少量费用",完全不愿意,3.0,,不到6个月,5000元以下
216,223,外卖骑手,25-30岁,专送,混合区域,完全不知道,超过12小时,"手机/电瓶车充电难,上厕所不便","基础休憩,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,"完全由政府出资,向骑手收取少量费用",视情况而定,3.0,,6个月-1年,5000-8000元
217,878,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,4-8小时,"饮水不便,身体疲劳无处缓解","应急庇护,便利服务",小区出入口/门卫室附近,C（弹性流动型）,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,"由外卖平台承担,广告收入",愿意支付,1.0,,1-3年,12000元以上
218,410,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,超过12小时,"饮水不便,手机/电瓶车充电难,身体疲劳无处缓解","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,3.0,,6个月-1年,5000-8000元
219,387,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,4-8小时,找不到合适地方休息,"基础休憩,充电续航",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,"广告收入,向骑手收取少量费用",完全不愿意,4.0,,1-3年,5000元以下
220,273,外卖骑手,31-40岁,众包,商业区/写字楼为主,是，偶尔用,4-8小时,"身体疲劳无处缓解,饮水不便,找不到合适地方休息","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,"向骑手收取少量费用,广告收入",完全不愿意,2.0,,3年以上,8000-12000元
225,240,外卖骑手,25-30岁,专送,混合区域,是，偶尔用,8-12小时,身体疲劳无处缓解,"充电续航,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,"完全由政府出资,由外卖平台承担",不太愿意,2.0,,不到6个月,12000元以上
226,307,外卖骑手,31-40岁,众包,住宅区/社区为主,完全不知道,超过12小时,"饮水不便,手机/电瓶车充电难","充电续航,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,"由外卖平台承担,广告收入",愿意支付,5.0,,6个月-1年,5000-8000元
230,393,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,4-8小时,"找不到合适地方休息,手机/电瓶车充电难","基础休憩,应急庇护",社区党群服务中心,A（高频便利型）,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,"广告收入,完全由政府出资",不太愿意,3.0,,不到6个月,8000-12000元
231,111,外卖骑手,18-24岁,众包,商业区/写字楼为主,知道，但从没用过,超过12小时,找不到合适地方休息,"充电续航,便利服务",闲置核酸亭/集装箱改造,B（综合保障型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,"由外卖平台承担,完全由政府出资",不太愿意,5.0,,1-3年,8000-12000元
232,808,外卖骑手,18-24岁,专送,混合区域,是，偶尔用,4-8小时,"手机/电瓶车充电难,身体疲劳无处缓解","应急庇护,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,"完全由政府出资,向骑手收取少量费用",不太愿意,3.0,,1-3年,8000-12000元
234,220,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,超过12小时,找不到合适地方休息,"充电续航,应急庇护",小区出入口/门卫室附近,C（弹性流动型）,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,"完全由政府出资,向骑手收取少量费用",视情况而定,3.0,,1-3年,5000-8000元
236,560,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,8-12小时,找不到合适地方休息,"便利服务,应急庇护",小区出入口/门卫室附近,A（高频便利型）,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,"完全由政府出资,广告收入",完全不愿意,2.0,,6个月-1年,5000-8000元
240,740,外卖骑手,18-24岁,专送,商业区/写字楼为主,完全不知道,少于4小时,饮水不便,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,"由外卖平台承担,完全由政府出资",愿意支付,2.0,,不到6个月,5000元以下
241,520,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,超过12小时,"饮水不便,手机/电瓶车充电难","基础休憩,便利服务",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,4.0,,不到6个月,12000元以上
244,70,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,超过12小时,"饮水不便,找不到合适地方休息,上厕所不便","基础休憩,便利服务",社区便利店/超市内,A（高频便利型）,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,"完全由政府出资,广告收入",完全不愿意,3.0,,不到6个月,5000-8000元
245,289,外卖骑手,31-40岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,"饮水不便,手机/电瓶车充电难","充电续航,便利服务",闲置核酸亭/集装箱改造,B（综合保障型）,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,2.0,,不到6个月,8000-12000元
247,205,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,少于4小时,"手机/电瓶车充电难,饮水不便","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,"完全由政府出资,由外卖平台承担",完全不愿意,5.0,,不到6个月,12000元以上
249,546,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,8-12小时,"找不到合适地方休息,饮水不便,上厕所不便","充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,由外卖平台承担",愿意支付,2.0,,1-3年,8000-12000元
251,687,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,4-8小时,"上厕所不便,身体疲劳无处缓解,手机/电瓶车充电难","充足的电瓶车停车位,应急庇护",社区便利店/超市内,B（综合保障型）,5.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,"由外卖平台承担,完全由政府出资",视情况而定,3.0,,6个月-1年,5000元以下
253,201,外卖骑手,25-30岁,专送,混合区域,是，经常用,少于4小时,"手机/电瓶车充电难,上厕所不便,找不到合适地方休息","便利服务,充电续航",社区便利店/超市内,A（高频便利型）,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,"向骑手收取少量费用,完全由政府出资",愿意支付,5.0,,不到6个月,5000-8000元
254,296,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,8-12小时,"身体疲劳无处缓解,手机/电瓶车充电难","充电续航,基础休憩",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",愿意支付,5.0,,6个月-1年,8000-12000元
255,373,外卖骑手,25-30岁,专送,住宅区/社区为主,是，偶尔用,8-12小时,"上厕所不便,手机/电瓶车充电难,饮水不便","便利服务,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",视情况而定,4.0,,6个月-1年,8000-12000元
257,917,外卖骑手,41岁及以上,专送,住宅区/社区为主,完全不知道,8-12小时,"上厕所不便,饮水不便,找不到合适地方休息","充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,A（高频便利型）,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,"由外卖平台承担,广告收入",愿意支付,1.0,,6个月-1年,5000元以下
258,564,外卖骑手,41岁及以上,众包,住宅区/社区为主,完全不知道,4-8小时,"身体疲劳无处缓解,饮水不便","充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",视情况而定,2.0,,不到6个月,5000元以下
263,456,外卖骑手,25-30岁,专送,住宅区/社区为主,是，偶尔用,超过12小时,"上厕所不便,饮水不便","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,4.0,,6个月-1年,5000元以下
265,240,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"身体疲劳无处缓解,手机/电瓶车充电难,饮水不便","应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,5.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,"完全由政府出资,向骑手收取少量费用",视情况而定,1.0,,不到6个月,12000元以上
266,240,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,8-12小时,上厕所不便,"充足的电瓶车停车位,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,2.0,,1-3年,12000元以上
267,318,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,超过12小时,身体疲劳无处缓解,"充电续航,基础休憩",闲置核酸亭/集装箱改造,B（综合保障型）,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,"完全由政府出资,向骑手收取少量费用",完全不愿意,5.0,,不到6个月,5000-8000元
269,690,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,"饮水不便,上厕所不便,找不到合适地方休息","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,"广告收入,完全由政府出资",不太愿意,5.0,,不到6个月,8000-12000元
