Q23_运营顾虑_开放,Q33_商户具体想法_开放,Q41_居民建议建议_开放
暂无,没想法,物业必须要尽到监管的责任，不能建完就不管了。
-,1,跳过
不要弄那些虚的，能充电能上厕所就是最实用的,不知道,1
没,暂无,没啥
看情况,没啥,没想法
没想法,跳过,-
暂无,公益是好事，但不能只让商户出钱出力吧。,没
没有,无,没有
没,可以的,没想法
没有,跳过,1
。,无,不知道
没啥,没有,看情况
最好能有个急救箱，平时磕磕碰碰能处理一下。,-,没有
无意见,跳过,无
找个公共厕所太难了，经常憋着。,没啥,无意见
能有个躺椅稍微眯一会真的很需要。,没,。
没有,不知道,不知道
。,没想法,-
没,。,最好建在便利店旁边
不需要搞得多高大上，实用最重要。,无,没想法
-,1,-
里面要是能卖点平价水就好了。,无意见,暂无
没想法,没有,没有
支持,。,没
1,。,没
无意见,没想法,跳过
暂无,充电的安全问题一定要搞清楚，起火了谁负责？,没啥
没啥,暂无,可以的
充电插座不够用，有时候还得排队。,不知道,-
。,1,没有
没有,-,无
没想法,。,暂无
没啥,不知道,无
无,-,没有
无意见,不知道,1
没,没啥,没想法
没遇到,1,跳过
暂无,没有,跳过
跳过,1,没啥
不知道,不知道,没有
没啥,-,没有
暂无,。,1
没,无意见,1
暂无,希望平台能给我们这些合作商家减免点抽成。,没有
1,。,不知道
。,怕就怕到时候一堆电瓶车把门面堵死了。,没有
别建在小区里面，保安大叔不让进的。,暂无,没
1,暂无,跳过
无,无,跳过
无意见,但是别大吵大闹影响别的顾客堂食,1
无意见,跳过,同意
没,暂无,无
没想法,没啥,没啥
无,没想法,1
。,没,无
希望能多一些能趴着睡会的桌子。,没有,没
没有,没遇到,跳过
没想法,暂无,没想法
没想法,无,可以的
还行,无意见,暂无
还行,暂无,无意见
不知道,不知道,无意见
没有,无,1
没想法,我们店面积太小了，实在腾不出地方搞这个。,没有
没有,。,无意见
-,没有,暂无
-,无意见,。
挺好的,不知道,。
无意见,不知道,没
无意见,没有,最好弄成独立的集装箱那种，和其他区域隔开。
没啥,看情况,无意见
还行,暂无,不知道
看情况,。,1
无,没有,不知道
无意见,无,无
没,不知道,无意见
没,可以的,。
没有,没啥,没
-,没想法,。
没,无,无意见
-,无,别弄个烂摊子最后没人管
暂无,不知道,没有
-,。,只要不占用小区的公共绿化和车位就行。
跳过,支持是支持，但最好别把垃圾扔的到处都是。,没啥
暂无,没,没
跳过,无,-
跳过,别在店里大声说话或者抽烟就行，影响其他客人。,没啥
有些驿站太偏僻了，送单根本不顺路。,无意见,没
能不能在商场附近多搞几个？那边最累。,没有,跳过
无,如果美团能给点线上流量我就干,暂无
1,-,无意见
如果能在这个地方拿到商家的单子就好了。,暂无,暂无
暂无,跳过,-
没有,无意见,-
不知道,不知道,。
-,只要不影响我们正常做生意，其实我是支持的。,没有
无意见,没,看情况
无,没有,还行
没啥,最好能有个统一的标识，也算帮我们做宣传了。,跳过
支持,跳过,没想法
无,没啥,跳过
。,不知道,没啥
没啥,没啥,还行
不知道,-,没想法
-,支持,没啥
冬天太冷，能有个地方喝口热水就行。,。,无意见
不知道,跳过,没啥
没,暂无,跳过
可以的,不知道,没啥
希望里面的插座是那种快充的,没想法,没想法
无意见,跳过,无
无意见,无意见,没想法
没想法,不知道,1
暂无,。,1
希望能有个微波炉,没啥,没
看情况,。,不知道
还行,没有,暂无
没遇到,暂无,没
暂无,1,没想法
希望能多建一点，现在覆盖率太低了。,没有,1
不知道,没想法,暂无
没啥,没啥,跳过
不知道,没啥,无
里面能弄点免费的茶水吗，渴死,没有,跳过
没啥,。,1
暂无,没有,1
1,不知道,。
。,没想法,1
没想法,没啥,支持便民设施，但最好建在小区大门外面。
跳过,大家都不容易，能提供个歇脚的地方挺好,。
没,没啥,1
暂无,不知道,无意见
希望对所有平台的小哥都开放，别搞歧视。,。,1
看情况,1,没有
没啥,无意见,-
-,如果能顺便给我们店带点客流，那我非常愿意。,没有
暂无,跳过,没啥
没,支持,跳过
。,1,跳过
无,跳过,跳过
没想法,没啥,没想法
跳过,1,-
跳过,跳过,。
没啥,没遇到,1
暂无,无意见,无
不知道,不知道,跳过
没啥,没,只要不扰民，我个人是非常赞成这种做法的。
不想去是因为里面总是挤满了人。,没想法,。
跳过,没想法,没想法
不知道,无,跳过
没,1,无意见
暂无,1,-
跳过,无意见,跳过
没有,1,无
没啥,-,暂无
不知道,没有,有些外卖车在小区里开得太快了，这点要注意。
不知道,无,暂无
暂无,无,没遇到
没,1,没遇到
无意见,-,没
支持,没,无意见
无,无意见,没想法
可以的,跳过,没啥
没想法,没啥,不知道
暂无,无意见,不知道
没想法,外卖员确实很辛苦，能帮一点是一点。,没想法
最怕的就是里面卫生没人搞，脏得很,-,。
跳过,支持,。
挺好的,跳过,1
-,不知道,1
没啥,没,没啥
不知道,无意见,没想法
。,1,没啥
还行,暂无,没有
无意见,主要是怕出事，电瓶车起火那可不是闹着玩的,暂无
1,可以的,-
-,没,1
暂无,无意见,-
无意见,外卖小哥也是潜在客户，互惠互利挺好。,没啥
有时候为了抢个充电头还能吵起来,。,无
。,暂无,没啥
。,暂无,没啥
没啥,1,1
希望平台能多出点钱支持一下。,没有,无意见
暂无,跳过,看情况
不知道,同意,。
跳过,没啥,。
-,1,无意见
暂无,没有,没啥
暂无,-,。
没啥,没,没啥
没啥,没想法,。
没想法,没有,暂无
-,没,无意见
无,不错,无意见
无,。,无意见
没啥,有些小哥脾气不好，怕引起纠纷。,不知道
1,无,没想法
无意见,1,-
无,无意见,1
没有,跳过,1
不知道,不知道,无
没想法,无意见,没有
暂无,跳过,没想法
没遇到,。,跳过
1,千万别弄成治安死角，晚上也得有人看着。,无意见
要是能有个打气筒和小扳手就更完美了。,跳过,无意见
挺好的,没想法,没啥
暂无,不知道,暂无
没有,没,暂无
没有,没,无
跳过,1,同意
无意见,无意见,没啥
无意见,没啥,大家互相体谅吧，谁都有点外卖的时候。
暂无,无意见,不知道
没遇到,跳过,没有
。,没,无意见
没,没有,无意见
没想法,没啥,门禁要严一点，别为了方便驿站让小区大门敞开。
充电速度太慢了，耽误时间。,1,没有
无意见,没啥,跳过
里面有点异味，希望有人能定期打扫。,。,。
1,1,无
希望能多加点充电口，每次去都没空位,没啥,-
没想法,没有,暂无
如果可以免费修修车就好了,没想法,没想法
无,不知道,多装几个监控，出了事好找人
没想法,无,别大半夜的还在那里大声聊天，影响我们睡觉。
没,不知道,1
停电瓶车的地方要稍微宽敞一点。,没,没想法
1,没有,1
-,跳过,不知道
没有,我们平时也是把卖剩下的东西分给小哥的。,-
1,无意见,不知道
有些地方进去还要填表登记，太耽误时间了。,。,无
1,没有,-
跳过,。,无
不知道,政府要是能补贴点电费，我这边肯定没问题。,1
暂无,。,-
没想法,1,挺好的
。,没,无意见
1,关键是谁来管理？不能弄得乱七八糟的。,1
不知道,没想法,暂无
看情况,。,无
支持,暂无,没有
1,可以给他们提供点热水，别的也帮不上什么。,不知道
只要不收费什么都好说,1,没啥
没啥,无意见,跳过
1,希望能有专人负责每天的卫生打扫。,暂无
1,。,暂无
没想法,。,不错
没有,无意见,一定要注意卫生，别到时候一地烟头和快餐盒。
电瓶车充电是最大的问题，希望能解决。,-,。
无意见,无,无意见
有时候驿站关门太早了。,没想法,不知道
没,1,。
-,。,。
跳过,1,电瓶车千万不能进楼道充电
里面能不能装个空调啊，夏天真的会中暑。,没啥,暂无
没遇到,跳过,无
1,没啥,跳过
跳过,不知道,消防隐患是大家最担心的，必须有正规的灭火设备。
不知道,没,无
没想法,-,没有
别搞收费，本来就赚点辛苦钱。,1,没有
1,无,没啥
不知道,没,没有
无意见,-,没想法
支持,-,不知道
。,跳过,可以设在原先那些废弃的核酸亭里，废物利用。
同意,。,无
没想法,不知道,不知道
无意见,如果是社区统一组织的，比较有公信力。,没啥
没有,不知道,没啥
没有,没啥,无意见
这种事确实挺好，就是感觉落实不到我们身上。,无,-
无,-,跳过
没,跳过,没想法
不错,没,没
跳过,没想法,不知道
暂无,1,坚决反对把充电站建在居民楼下面，太危险了！
1,不知道,无意见
1,无,1
无意见,不知道,没有
1,-,小哥们风里雨里不容易，小区里有个落脚点挺好的。
跳过,没啥,无意见
1,没遇到,跳过
能有个地方给手机充充电最实在了。,没有,暂无
-,没想法,无意见
没啥,不知道,跳过
没想法,不知道,没啥
无,没想法,看情况
暂无,还行,暂无
不知道,暂无,不错
挺好的,无意见,1
无,没想法,没
没有,无意见,跳过
没,。,-
无意见,没,无意见
夏天暴晒，有个能乘凉的地方最好。,1,无意见
没啥,支持,1
建议能把地图定位搞准确一点，别很难找。,没,暂无
遇到大暴雨有个躲雨的棚子也行啊。,没啥,不知道
跳过,还行,没有
要是能免费发点防暑降温的药就好了。,无,无意见
。,没有,不知道
看情况,没想法,跳过
有时候车停在外面怕被偷，希望有监控。,-,没有
不知道,暂无,没想法
最好能有些雨衣雨鞋的应急借用。,。,-
没想法,暂无,同意
没啥,跳过,没有
无,无意见,1
暂无,。,没
跳过,不知道,没啥
没啥,。,没啥
没啥,没,别影响小区的整体美观和环境质量。
不知道,没有,安全第一，不管是充电还是治安，都要有保障。
没想法,跳过,其实这也是城市温度的体现，大家应该多理解。
没啥,-,暂无
暂无,-,没有
希望能24小时开放，晚上跑单也没个去处。,-,。
不知道,跳过,无意见
没有,1,没有
不知道,暂无,挺好的
无,-,没
没想法,暂无,。
暂无,暂无,-
主要是送单高峰期根本没时间去休息。,没想法,无
没,没,。
没,没有,不知道
无,没,暂无
没想法,-,无意见
无,没,支持
同意,1,-
没有,1,。
暂无,挺好的,没啥
最好是在大马路边上，不要七拐八拐的,不知道,。
无意见,1,挺好的
无,可以的,跳过
同意,没啥,1
没有,-,没想法
没,无意见,没想法
不知道,还行,跳过
没想法,。,。
没想法,没啥,没有
希望驿站里能配个微波炉，每天吃冷饭胃受不了。,不知道,。
没遇到,跳过,1
暂无,1,跳过
跳过,没啥,跳过
无意见,-,没
不知道,支持,没有
没有,没有,没啥
不错,。,无
没想法,。,支持
跳过,不知道,跳过
其实哪怕只是几张椅子能坐几分钟也是好的。,没啥,无
无意见,没想法,没有
没想法,。,不知道
没有,-,。
-,没有,挺好的事，建议多征求一下周边住户的意见。
可以的,。,没想法
没想法,不知道,挺好的
没想法,不知道,希望能规范管理，别让外面乱七八糟的人也混进来。
没,无意见,没啥
无意见,还行,无
没,没想法,不知道
没,没啥,不知道
最好和换电柜绑在一起，这样最方便。,没有,没啥
。,暂无,1
-,无意见,没啥
-,支持,无
没,没想法,无
看情况,1,不知道
跳过,1,可以的
无意见,暂无,充电的电线千万别私拉乱接，看着就害怕。
跳过,没有,无意见
同意,。,不知道
暂无,跳过,没想法
暂无,无意见,暂无
没,看情况,-
1,没啥,跳过
跳过,。,没啥
暂无,不知道,-
没有,跳过,挺好的
1,没有,-
可以的,没啥,不知道
跳过,跳过,无
感觉现在的驿站很多都是摆设，没人管。,没,没想法
1,还行,没有
跳过,没遇到,跳过
支持,跳过,无意见
没遇到,-,没
不知道,没有,。
。,暂无,还行
不知道,没,暂无
没有,没,没
支持,没,不知道
没想法,没想法,1
不知道,没想法,还行
不要只搞一阵风，希望能长期弄下去。,不知道,-
没,1,1
不知道,无意见,没想法
无,没有,无意见
1,无,-
支持,不知道,没有
没想法,可以的,1
挺好的,1,没想法
不知道,没想法,1
无,1,没有
还行,没啥,没有
没,无,暂无
没啥,1,不错
无意见,跳过,跳过
-,不知道,还行
没有,。,不知道
跳过,没啥,不知道
没想法,还行,没有
不错,-,无意见
不知道,没啥,不错
支持,无意见,。
-,没,不知道
支持,不知道,不知道
跳过,无,-
无意见,暂无,-
同意,暂无,暂无
没,无意见,没有
。,。,挺好的
不知道,没想法,没
不错,没,没
不错,没啥,1
-,不知道,没啥
1,没想法,无意见
同意,暂无,。
暂无,无意见,同意
没遇到,-,不知道
没想法,1,无意见
可以的,没,暂无
不错,无意见,无
不知道,-,。
没有,没啥,支持
无意见,没有,看情况
。,没,跳过
没有,没遇到,1
挺好的,跳过,无
跳过,。,跳过
还行,暂无,无
-,没有,还行
不错,无,无意见
1,不错,没啥
没想法,无,没有
暂无,没,。
没啥,没想法,没有
没遇到,无意见,没有
无,不知道,没想法
1,1,没想法
不知道,。,没想法
没,无意见,跳过
无,没遇到,没想法
不知道,不知道,没有
-,没有,。
。,。,无
跳过,挺好的,不知道
-,无意见,没啥
无,-,还行
暂无,没啥,支持
还行,没,无
-,不知道,没
不知道,1,同意
不知道,没,支持
同意,无,无意见
暂无,无,-
可以的,。,1
不知道,暂无,无意见
无,不知道,-
无意见,-,跳过
跳过,没啥,跳过
没,1,没啥
1,-,看情况
没有,没啥,跳过
没想法,没,-
-,不知道,无意见
没想法,没啥,跳过
没,没啥,1
-,没想法,跳过
无,没有,不知道
不知道,跳过,没啥
挺好的,没,没想法
同意,无,没
没有,不知道,-
没想法,无,没想法
1,-,-
没有,没想法,没
跳过,-,不知道
没有,无,没啥
。,跳过,。
没有,无意见,同意
没想法,无意见,没啥
1,暂无,没有
1,没,同意
还行,不知道,-
看情况,无意见,没
没啥,没啥,不错
没遇到,没有,暂无
没遇到,1,无
没想法,-,1
。,没有,没有
无意见,跳过,同意
跳过,没想法,没有
-,不知道,没有
不知道,。,-
。,不知道,没想法
没,跳过,。
挺好的,没有,。
没,无意见,-
没遇到,-,。
无意见,看情况,暂无
不知道,看情况,没
不知道,。,没有
。,不知道,没想法
不知道,没想法,没啥
没想法,-,挺好的
无,没有,不知道
看情况,不知道,暂无
没想法,不知道,无
1,看情况,不知道
无意见,1,不知道
1,没有,没啥
1,跳过,1
-,没想法,没
-,还行,没啥
还行,跳过,没
-,没有,-
暂无,1,1
暂无,没,无意见
跳过,没想法,没
-,没想法,没遇到
没,1,同意
1,无意见,没有
跳过,。,暂无
暂无,没想法,无
无意见,1,同意
无意见,。,没有
跳过,没,还行
跳过,-,无
没想法,。,。
无意见,没有,1
。,无意见,支持
没,没有,-
。,-,没遇到
没想法,。,无
无,无,-
1,。,没想法
。,没,没想法
-,没,没想法
没啥,无意见,同意
没啥,没想法,无
-,-,可以的
没想法,无意见,挺好的
没想法,1,不知道
