ID,答题时间,Q1_身份,Q2_年龄段,Q3_配送类型,Q4_配送区域类型,Q5_是否用过驿站,Q6_跑单时长,Q7_最不便方面_多选,Q8_驿站重要功能_多选,Q9_驿站选址偏好,Q10_方案取舍,Q11_效率恢复_量表,Q12_安全缓冲_量表,Q13_价值感知_量表,Q14_寻找难易_量表,Q15_注意力测试_量表,Q16_使用流程_量表,Q17_习惯难度_量表,Q18_使用可能_量表,Q19_推荐意愿_量表,Q20_运营费用承担_多选,Q21_付费意愿,Q22_广告接受度_量表,Q23_运营顾虑_开放,Q24_从业时间,Q25_月收入,Q26_商户店铺类型,Q27_商户店址位置,Q28_骑手客源占比,Q29_目前骑手停留情况,Q30_参与合作意向,Q31_合作顾虑点_多选,Q32_激励方式偏好_多选,Q33_商户具体想法_开放,Q34_居民见骑手频率,Q35_对骑手露宿态度,Q36_对驿站总体态度,Q37_50米内距离敏感度,Q38_居民主要担忧_多选,Q39_驿站管理原则_多选,Q40_参与讨论意愿,Q41_居民建议建议_开放,Q42_社区居住时长
78,633,外卖骑手,41岁及以上,众包,住宅区/社区为主,是，偶尔用,4-8小时,"饮水不便,身体疲劳无处缓解,上厕所不便","充足的电瓶车停车位,便利服务",社区便利店/超市内,C（弹性流动型）,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,"完全由政府出资,由外卖平台承担",完全不愿意,5.0,无意见,不到6个月,5000元以下,,,,,,,,无,,,,,,,,无,
79,540,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,8-12小时,"身体疲劳无处缓解,找不到合适地方休息","基础休憩,便利服务",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",愿意支付,1.0,没,不到6个月,5000-8000元,,,,,,,,不知道,,,,,,,,无意见,
80,501,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,没,,,餐饮店,否,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",可以的,,,,,,,,。,
81,267,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"上厕所不便,找不到合适地方休息,饮水不便","便利服务,充电续航",闲置核酸亭/集装箱改造,A（高频便利型）,5.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,5.0,没有,不到6个月,12000元以上,,,,,,,,没啥,,,,,,,,没,
82,478,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,8-12小时,手机/电瓶车充电难,"便利服务,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"广告收入,由外卖平台承担",不太愿意,3.0,-,不到6个月,8000-12000元,,,,,,,,没想法,,,,,,,,。,
83,126,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,8-12小时,找不到合适地方休息,"充足的电瓶车停车位,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,"由外卖平台承担,完全由政府出资",愿意支付,1.0,没,6个月-1年,5000元以下,,,,,,,,无,,,,,,,,无意见,
84,242,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,无,经常看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,别弄个烂摊子最后没人管,1-5年
85,553,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,少于4小时,"饮水不便,手机/电瓶车充电难,身体疲劳无处缓解","应急庇护,充电续航",社区便利店/超市内,C（弹性流动型）,5.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,"由外卖平台承担,广告收入",完全不愿意,2.0,暂无,1-3年,5000-8000元,,,,,,,,不知道,,,,,,,,没有,
86,429,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,。,很少看到,没感觉,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,只要不占用小区的公共绿化和车位就行。,1-5年
87,365,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,跳过,,,药店/诊所,否,偶尔来,从未有过,非常愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",支持是支持，但最好别把垃圾扔的到处都是。,,,,,,,,没啥,
88,175,外卖骑手,18-24岁,众包,混合区域,完全不知道,超过12小时,"手机/电瓶车充电难,身体疲劳无处缓解","充电续航,基础休憩",小区出入口/门卫室附近,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,3.0,暂无,6个月-1年,8000-12000元,,,,,,,,没,,,,,,,,没,
89,679,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,跳过,,,,,,,,,,无,偶尔看到,影响美观,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,-,少于1年
90,732,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,跳过,,,药店/诊所,是，就在小区门口,是，经常来,很少有,非常愿意,"影响店面卫生,安全责任问题",水电补贴,别在店里大声说话或者抽烟就行，影响其他客人。,,,,,,,,没啥,
91,597,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,4-8小时,"身体疲劳无处缓解,找不到合适地方休息","应急庇护,便利服务",社区党群服务中心,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,3.0,有些驿站太偏僻了，送单根本不顺路。,不到6个月,5000元以下,,,,,,,,无意见,,,,,,,,没,
92,471,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,超过12小时,上厕所不便,"充电续航,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,2.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,"广告收入,完全由政府出资",完全不愿意,2.0,能不能在商场附近多搞几个？那边最累。,不到6个月,8000-12000元,,,,,,,,没有,,,,,,,,跳过,
93,647,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,无,,,便利店/小超市,是，在100米内,偶尔来,很少有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,如果美团能给点线上流量我就干,,,,,,,,暂无,
94,674,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,超过12小时,"手机/电瓶车充电难,饮水不便","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,"完全由政府出资,由外卖平台承担",完全不愿意,3.0,1,6个月-1年,8000-12000元,,,,,,,,-,,,,,,,,无意见,
95,312,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,8-12小时,手机/电瓶车充电难,"应急庇护,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,"由外卖平台承担,广告收入",不太愿意,2.0,如果能在这个地方拿到商家的单子就好了。,不到6个月,8000-12000元,,,,,,,,暂无,,,,,,,,暂无,
96,194,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,8-12小时,"饮水不便,身体疲劳无处缓解,找不到合适地方休息","充电续航,应急庇护",闲置核酸亭/集装箱改造,C（弹性流动型）,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,"完全由政府出资,由外卖平台承担",不太愿意,4.0,暂无,不到6个月,8000-12000元,,,,,,,,跳过,,,,,,,,-,
97,234,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,少于4小时,"找不到合适地方休息,上厕所不便,手机/电瓶车充电难","便利服务,充电续航",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,"广告收入,完全由政府出资",视情况而定,2.0,没有,不到6个月,5000-8000元,,,,,,,,无意见,,,,,,,,-,
98,270,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,不知道,,,其他服务店,是，就在小区门口,是，经常来,很少有,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",不知道,,,,,,,,。,
100,539,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,-,,,便利店/小超市,否,是，经常来,偶尔有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,只要不影响我们正常做生意，其实我是支持的。,,,,,,,,没有,
101,567,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,无意见,,,,,,,,,,没,偶尔看到,觉得辛苦,中立,是,噪音/卫生问题,禁止吸烟,不太愿意,看情况,少于1年
102,743,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,无,,,,,,,,,,没有,经常看到,觉得辛苦,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,还行,5年以上
103,766,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,没啥,,,便利店/小超市,是，就在小区门口,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,最好能有个统一的标识，也算帮我们做宣传了。,,,,,,,,跳过,
104,469,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,8-12小时,身体疲劳无处缓解,"充电续航,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,3.0,"广告收入,完全由政府出资",视情况而定,2.0,支持,不到6个月,5000-8000元,,,,,,,,跳过,,,,,,,,没想法,
105,413,外卖骑手,31-40岁,众包,住宅区/社区为主,是，经常用,超过12小时,"手机/电瓶车充电难,身体疲劳无处缓解","应急庇护,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,"向骑手收取少量费用,完全由政府出资",视情况而定,2.0,无,6个月-1年,12000元以上,,,,,,,,没啥,,,,,,,,跳过,
106,45,外卖骑手,18-24岁,众包,混合区域,完全不知道,8-12小时,"找不到合适地方休息,饮水不便,手机/电瓶车充电难","充足的电瓶车停车位,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,"广告收入,由外卖平台承担",视情况而定,4.0,。,6个月-1年,8000-12000元,,,,,,,,不知道,,,,,,,,没啥,
107,318,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,没啥,,,,,,,,,,没啥,经常看到,觉得辛苦,中立,否,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,还行,1-5年
108,290,外卖骑手,31-40岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"身体疲劳无处缓解,找不到合适地方休息,手机/电瓶车充电难","充电续航,便利服务",社区便利店/超市内,B（综合保障型）,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",不太愿意,2.0,不知道,1-3年,5000-8000元,,,,,,,,-,,,,,,,,没想法,
109,793,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,-,,,便利店/小超市,是，在100米内,是，经常来,偶尔有,不愿意,"安全责任问题,影响店面卫生",平台流量曝光,支持,,,,,,,,没啥,
110,225,外卖骑手,31-40岁,众包,混合区域,完全不知道,8-12小时,"饮水不便,身体疲劳无处缓解","充足的电瓶车停车位,应急庇护",社区便利店/超市内,A（高频便利型）,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,"由外卖平台承担,广告收入",愿意支付,4.0,冬天太冷，能有个地方喝口热水就行。,1-3年,5000-8000元,,,,,,,,。,,,,,,,,无意见,
111,184,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,不知道,,,,,,,,,,跳过,经常看到,没感觉,非常支持,是,"噪音/卫生问题,充电消防隐患",物业监督,不太愿意,没啥,少于1年
112,491,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，经常用,8-12小时,"手机/电瓶车充电难,身体疲劳无处缓解,上厕所不便","应急庇护,便利服务",社区便利店/超市内,B（综合保障型）,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,"向骑手收取少量费用,广告收入",愿意支付,4.0,没,3年以上,5000-8000元,,,,,,,,暂无,,,,,,,,跳过,
115,216,外卖骑手,31-40岁,众包,混合区域,完全不知道,少于4小时,"找不到合适地方休息,上厕所不便,身体疲劳无处缓解","充电续航,便利服务",闲置核酸亭/集装箱改造,A（高频便利型）,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,"广告收入,完全由政府出资",不太愿意,1.0,可以的,6个月-1年,5000元以下,,,,,,,,不知道,,,,,,,,没啥,
116,264,外卖骑手,31-40岁,众包,住宅区/社区为主,完全不知道,4-8小时,"手机/电瓶车充电难,身体疲劳无处缓解,上厕所不便","充足的电瓶车停车位,基础休憩",社区便利店/超市内,C（弹性流动型）,3.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,"完全由政府出资,由外卖平台承担",视情况而定,1.0,希望里面的插座是那种快充的,不到6个月,5000元以下,,,,,,,,没想法,,,,,,,,没想法,
117,72,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,无意见,,,,,,,,,,跳过,偶尔看到,没感觉,非常支持,否,噪音/卫生问题,物业监督,不太愿意,无,5年以上
118,316,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,无意见,,,,,,,,,,无意见,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,没想法,少于1年
119,429,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,不知道,很少看到,不希望聚集,比较支持,是,充电消防隐患,禁止吸烟,无所谓,1,1-5年
120,808,外卖骑手,25-30岁,专送,住宅区/社区为主,完全不知道,4-8小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0,"广告收入,向骑手收取少量费用",愿意支付,1.0,暂无,不到6个月,5000-8000元,,,,,,,,。,,,,,,,,1,
121,927,外卖骑手,25-30岁,专送,住宅区/社区为主,是，经常用,4-8小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",愿意支付,4.0,希望能有个微波炉,不到6个月,5000-8000元,,,,,,,,没啥,,,,,,,,没,
122,233,外卖骑手,31-40岁,众包,商业区/写字楼为主,是，经常用,少于4小时,手机/电瓶车充电难,"充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,"完全由政府出资,广告收入",完全不愿意,2.0,看情况,1-3年,5000元以下,,,,,,,,。,,,,,,,,不知道,
123,262,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,"身体疲劳无处缓解,找不到合适地方休息,饮水不便","充电续航,基础休憩",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,"完全由政府出资,由外卖平台承担",完全不愿意,5.0,还行,3年以上,5000元以下,,,,,,,,没有,,,,,,,,暂无,
124,427,外卖骑手,18-24岁,专送,住宅区/社区为主,完全不知道,4-8小时,身体疲劳无处缓解,"充电续航,应急庇护",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,"向骑手收取少量费用,广告收入",完全不愿意,4.0,没遇到,6个月-1年,8000-12000元,,,,,,,,暂无,,,,,,,,没,
125,193,外卖骑手,25-30岁,专送,商业区/写字楼为主,完全不知道,少于4小时,找不到合适地方休息,"基础休憩,应急庇护",小区出入口/门卫室附近,A（高频便利型）,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,5.0,暂无,6个月-1年,8000-12000元,,,,,,,,1,,,,,,,,没想法,
126,289,外卖骑手,25-30岁,众包,住宅区/社区为主,是，偶尔用,超过12小时,手机/电瓶车充电难,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,"完全由政府出资,向骑手收取少量费用",不太愿意,5.0,希望能多建一点，现在覆盖率太低了。,6个月-1年,5000元以下,,,,,,,,没有,,,,,,,,1,
127,394,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,超过12小时,"手机/电瓶车充电难,饮水不便","便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",完全不愿意,5.0,不知道,不到6个月,8000-12000元,,,,,,,,没想法,,,,,,,,暂无,
128,383,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没啥,,,,,,,,,,没啥,偶尔看到,影响美观,比较支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,不太愿意,跳过,少于1年
129,176,外卖骑手,25-30岁,众包,住宅区/社区为主,完全不知道,8-12小时,找不到合适地方休息,"基础休憩,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,1.0,不知道,6个月-1年,8000-12000元,,,,,,,,没啥,,,,,,,,无,
130,485,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,8-12小时,身体疲劳无处缓解,"基础休憩,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,"完全由政府出资,广告收入",视情况而定,3.0,里面能弄点免费的茶水吗，渴死,6个月-1年,8000-12000元,,,,,,,,没有,,,,,,,,跳过,
131,259,外卖骑手,41岁及以上,专送,商业区/写字楼为主,是，偶尔用,少于4小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","便利服务,基础休憩",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,4.0,"广告收入,向骑手收取少量费用",完全不愿意,5.0,没啥,不到6个月,5000-8000元,,,,,,,,。,,,,,,,,1,
132,665,外卖骑手,18-24岁,众包,混合区域,是，经常用,4-8小时,手机/电瓶车充电难,"便利服务,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,5.0,暂无,不到6个月,5000元以下,,,,,,,,没有,,,,,,,,1,
133,331,外卖骑手,41岁及以上,众包,混合区域,完全不知道,超过12小时,饮水不便,"充足的电瓶车停车位,便利服务",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,广告收入",不太愿意,5.0,1,不到6个月,8000-12000元,,,,,,,,不知道,,,,,,,,。,
135,302,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,。,,,,,,,,,,没想法,经常看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,1,少于1年
136,402,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,没啥,经常看到,影响美观,不太支持,是,噪音/卫生问题,物业监督,无所谓,支持便民设施，但最好建在小区大门外面。,1-5年
137,186,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,跳过,,,药店/诊所,是，在100米内,偶尔来,从未有过,可以考虑,影响店面卫生,"水电补贴,平台流量曝光",大家都不容易，能提供个歇脚的地方挺好,,,,,,,,。,
138,363,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,少于4小时,"身体疲劳无处缓解,饮水不便","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,"广告收入,由外卖平台承担",不太愿意,2.0,没,6个月-1年,8000-12000元,,,,,,,,没啥,,,,,,,,1,
139,547,外卖骑手,31-40岁,众包,混合区域,是，经常用,4-8小时,"饮水不便,手机/电瓶车充电难,找不到合适地方休息","充电续航,便利服务",社区便利店/超市内,B（综合保障型）,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,"广告收入,完全由政府出资",不太愿意,1.0,暂无,6个月-1年,12000元以上,,,,,,,,不知道,,,,,,,,无意见,
140,519,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,超过12小时,"找不到合适地方休息,手机/电瓶车充电难,上厕所不便","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,"完全由政府出资,由外卖平台承担",完全不愿意,2.0,希望对所有平台的小哥都开放，别搞歧视。,1-3年,5000-8000元,,,,,,,,。,,,,,,,,1,
141,926,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"上厕所不便,找不到合适地方休息","基础休憩,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,完全由政府出资",视情况而定,3.0,看情况,1-3年,5000-8000元,,,,,,,,1,,,,,,,,没有,
142,233,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,没啥,,,便利店/小超市,是，就在小区门口,很少,偶尔有,可以考虑,影响店面卫生,"水电补贴,平台流量曝光",无意见,,,,,,,,-,
143,708,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,-,,,餐饮店,否,偶尔来,偶尔有,非常愿意,"安全责任问题,影响店面卫生",水电补贴,如果能顺便给我们店带点客流，那我非常愿意。,,,,,,,,没有,
144,342,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,8-12小时,手机/电瓶车充电难,"便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",完全不愿意,2.0,暂无,6个月-1年,5000-8000元,,,,,,,,跳过,,,,,,,,没啥,
145,666,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,没,,,药店/诊所,是，在100米内,很少,偶尔有,非常愿意,影响店面卫生,水电补贴,支持,,,,,,,,跳过,
146,318,外卖骑手,41岁及以上,众包,住宅区/社区为主,完全不知道,4-8小时,手机/电瓶车充电难,"应急庇护,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,4.0,。,不到6个月,5000元以下,,,,,,,,1,,,,,,,,跳过,
147,662,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,无,,,餐饮店,否,是，经常来,偶尔有,不愿意,影响店面卫生,水电补贴,跳过,,,,,,,,跳过,
148,268,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,没啥,偶尔看到,影响美观,不太支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,没想法,1-5年
149,670,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,跳过,,,,,,,,,,1,偶尔看到,影响美观,比较支持,是,噪音/卫生问题,物业监督,无所谓,-,5年以上
150,267,外卖骑手,41岁及以上,众包,住宅区/社区为主,完全不知道,8-12小时,"上厕所不便,身体疲劳无处缓解,找不到合适地方休息","基础休憩,便利服务",社区便利店/超市内,B（综合保障型）,3.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,4.0,跳过,不到6个月,12000元以上,,,,,,,,跳过,,,,,,,,。,
151,680,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,没啥,,,餐饮店,是，就在小区门口,是，经常来,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,没遇到,,,,,,,,1,
152,451,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,暂无,,,,,,,,,,无意见,很少看到,没感觉,非常支持,否,"噪音/卫生问题,充电消防隐患",禁止吸烟,无所谓,无,少于1年
153,348,外卖骑手,31-40岁,众包,住宅区/社区为主,完全不知道,超过12小时,手机/电瓶车充电难,"应急庇护,充足的电瓶车停车位",小区出入口/门卫室附近,B（综合保障型）,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"向骑手收取少量费用,广告收入",完全不愿意,5.0,不知道,不到6个月,12000元以上,,,,,,,,不知道,,,,,,,,跳过,
154,503,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,没啥,,,,,,,,,,没,经常看到,觉得辛苦,中立,是,噪音/卫生问题,"禁止吸烟,物业监督",不太愿意,只要不扰民，我个人是非常赞成这种做法的。,1-5年
155,413,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,超过12小时,"身体疲劳无处缓解,饮水不便","充电续航,便利服务",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",完全不愿意,3.0,不想去是因为里面总是挤满了人。,不到6个月,5000元以下,,,,,,,,没想法,,,,,,,,。,
156,387,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,找不到合适地方休息,"应急庇护,便利服务",社区便利店/超市内,C（弹性流动型）,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,完全由政府出资",视情况而定,1.0,跳过,不到6个月,8000-12000元,,,,,,,,没想法,,,,,,,,没想法,
157,380,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,不知道,,,,,,,,,,无,经常看到,没感觉,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,跳过,5年以上
158,185,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,没,,,,,,,,,,1,很少看到,没感觉,不太支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,无意见,少于1年
